Name,Power
Enemy1,83.0
Enemy2,108.0
Enemy3,107.0
Enemy4,85.0
Enemy5,106.0
Enemy6,92.0
Enemy7,98.0
Enemy8,102.0
Enemy9,94.0
Enemy10,85.0
Enemy11,100.0
Enemy12,118.0
Enemy13,113.0
Enemy14,99.0
Enemy15,99.0
Enemy16,113.0
Enemy17,97.0
Enemy18,103.0
Enemy19,81.0
Enemy20,89.0
Enemy21,103.0
Enemy22,100.0
,
Thor,100.0
Hulk,95.0
,
Enemy23,55.0
Enemy24,34.0
Enemy25,43.0
Enemy26,36.0
Enemy27,46.0
Enemy28,56.0
Enemy29,33.0
Enemy30,41.0
Enemy31,43.0
Enemy32,43.0
Enemy33,45.0
Enemy34,30.0
Enemy35,40.0
Enemy36,55.0
Enemy37,53.0
Enemy38,52.0
Enemy39,56.0
Enemy40,31.0
Enemy41,42.0
Enemy42,53.0
Enemy43,52.0
Enemy44,35.0
Enemy45,40.0
Enemy46,58.0
Enemy47,45.0
Enemy48,58.0
Enemy49,54.0
Enemy50,40.0
