0,1,2,3,4,5,6,7,8,9
9310,6340,6879,9381,14,777,3045,2346,5704,9117
9315,6202,3140,5814,7149,4855,6222,3552,6098,8041
6765,7489,3447,9364,8882,3884,5523,4134,1246,6661
3714,3686,2066,8686,3043,3234,2061,84,9914,1563
7168,5696,7552,2644,4702,8587,540,725,8886,2277
3200,7020,7220,3200,5558,4314,5578,1268,4379,2042
3600,6358,196,7961,4577,9548,6851,3261,7133,9910
2930,9740,2661,2654,5979,9674,9249,6397,9634,1650
3566,3397,2678,305,3656,5188,9407,9685,9135,9754
7094,6138,3358,8245,1599,1423,3531,9650,2444,2702
6280,4984,9273,9506,268,6171,9387,2257,529,3193
7437,6129,7420,261,1334,6018,8752,3785,4115,5166
9645,8987,9658,5182,9602,2602,4975,6409,3581,1292
4023,3129,8851,5175,8840,9807,6245,9565,6189,5631
5072,7225,6616,8155,9930,7252,9238,3608,9074,9627
3984,5291,2605,1253,6000,3506,7676,9031,2132,2064
4250,7616,8203,652,4672,8252,5733,8751,7225,5831
3893,1020,9736,1936,4247,5602,3990,8642,1320,4009
2299,4257,6309,5203,5193,9884,4186,5243,5924,6474
8768,9224,2794,6045,1442,1110,5647,4364,7386,858
1826,6393,1960,1586,8475,1692,4012,671,5319,1458
4394,5235,4937,9491,4075,840,5859,4949,7320,5650
5316,6085,4490,434,6224,6504,9979,1028,8883,9468
963,5050,7634,355,6107,9394,210,1658,1434,7869
3940,9034,5123,8624,7998,3994,969,9507,7249,9483
9737,3178,3282,9028,1147,4588,4154,6129,6588,2610
4419,3342,4012,395,2543,2918,1984,3048,5655,7208
461,5896,2307,8630,9456,1293,1586,3796,7987,8525
8983,1686,4406,5906,8610,542,9186,2886,9524,913
6144,9936,4020,9565,6522,3240,8558,2936,2692,8671
