Location,Hero,Power
Wakanda,Black Panther,91
Wakanda,Shuri,86
Titan,Iron Man,96
Space,Rocket Raccoon,85
Wakanda,Scarlet Witch,95
Wakanda,Thor,99
Wakanda,Falcon,88
Titan,Doctor Strange,98
Space,Thor,99
Titan,Mantis,80
Titan,Spider-Man,86
Wakanda,Bucky Barnes,89
Wakanda,Okoye,87
Titan,Star-Lord,88
Titan,Drax,83
New York,Wong,90
Wakanda,Rocket Raccoon,85
New York,Bruce Banner,88
Space,Groot,84
Wakanda,Groot,84
New York,Doctor Strange,98
Wakanda,Captain America,92
Wakanda,Hulk (Bruce Banner in Hulkbuster),89
Wakanda,War Machine,90
New York,Iron Man,96
Titan,Nebula,85
