Team Power,Synergy,Enemy Strength,Location Difficulty,Win Probability
76.66666667,60,90,89,6.766666667
81,71,81,98,12.5
71.33333333,88,73,63,17.93333333
75.66666667,63,73,89,12.06666667
85,59,73,80,15.9
84,94,98,94,13.6
79,84,96,91,10.5
87,84,77,76,20.9
85.66666667,58,84,91,11.56666667
86.66666667,85,76,71,21.76666667
80.33333333,88,70,76,21.13333333
83,81,93,98,11.7
66,77,92,81,6.1
73,60,96,87,3.7
76,52,97,85,3.2
91.33333333,50,97,74,10.03333333
64,54,96,58,1.8
86.33333333,89,99,97,12.93333333
87.33333333,53,83,97,10.93333333
77.66666667,95,75,94,18.16666667
81,97,73,98,20.1
92,70,92,52,18
84.66666667,51,96,51,10.16666667
87.66666667,73,97,56,14.96666667
80.33333333,81,91,74,13.63333333
87.33333333,57,97,93,7.933333333
82,99,79,68,22.1
78.33333333,61,70,50,17.53333333
77.66666667,52,95,86,4.366666667
70,75,85,88,8.7
92.66666667,59,88,81,14.36666667
82.66666667,82,98,92,10.86666667
74,99,92,75,14.3
84.33333333,74,98,85,10.63333333
90.66666667,72,74,98,18.66666667
79,68,73,90,14.3
77.66666667,61,89,70,9.566666667
75.66666667,84,98,60,11.66666667
79.66666667,99,95,54,17.76666667
80.66666667,55,88,93,7.566666667
79.33333333,77,98,90,8.733333333
84.66666667,93,82,96,18.26666667
76.33333333,64,70,52,17.13333333
89,57,97,77,10.2
79.33333333,97,82,84,18.13333333
72,67,84,60,11
78,97,75,66,21.5
74.33333333,70,78,50,15.33333333
92,52,87,50,16.1
84,70,71,88,17.5
94,73,97,91,14
79.33333333,54,75,51,14.93333333
79.66666667,78,87,68,14.56666667
65,75,71,63,13.4
80,57,72,64,15.4
70,95,84,94,12.4
85,75,81,66,18.1
89.66666667,96,77,93,22.66666667
84.33333333,71,75,97,15.73333333
79.33333333,51,97,53,7.533333333
70.33333333,75,82,54,13.13333333
72.66666667,87,99,85,8.266666667
77.33333333,51,70,86,11.53333333
69,58,81,84,6.5
86,84,74,68,22.2
87,82,84,74,18.6
64,56,77,64,7.3
91.33333333,82,73,51,25.93333333
81.66666667,57,98,53,9.366666667
72.66666667,89,75,72,17.16666667
74,86,79,77,15.4
78.66666667,75,73,72,17.36666667
74,90,89,75,13.4
77.66666667,55,93,98,4.366666667
89,98,70,62,28
87.66666667,68,70,96,18.06666667
63.33333333,78,76,81,10.03333333
81.66666667,57,94,52,10.66666667
82,83,93,81,13.4
70.66666667,56,92,68,5.066666667
70,52,92,69,3.9
80,59,93,95,6.4
83.33333333,71,83,75,15.13333333
95,66,94,61,16.9
92.66666667,61,94,56,15.46666667
80,78,80,60,17.6
79,85,89,84,13.5
65.66666667,89,70,92,13.86666667
87,68,81,98,14.3
84.66666667,65,77,67,17.06666667
73.33333333,64,76,97,9.633333333
89.66666667,91,86,80,20.26666667
88.66666667,93,84,98,19.06666667
82.66666667,79,92,62,15.06666667
77.33333333,79,76,54,18.53333333
80,95,78,98,17.8
82,60,82,74,12.8
82.33333333,90,95,55,16.93333333
82.33333333,73,72,62,19.73333333
79,58,94,61,8.9
79.33333333,54,95,55,8.533333333
84.66666667,89,82,82,18.86666667
88.33333333,87,76,92,20.73333333
92.33333333,67,71,62,22.83333333
